code_v2013,code_v2016,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT111,AT111,AT111AT111,703.2062815882571,37553.63417616822,37485.0,4477.0,4742.0,19040516.000000034
AT112,AT112,AT112AT112,1793.3550720319995,150342.62860173377,162446.0,15595.0,16202.0,81540650.99999993
AT113,AT113,AT113AT113,1468.8858772130054,97660.9252818894,97062.0,11324.0,12012.0,48030980.9999997
AT121,AT121,AT121AT121,3359.7302080966438,241186.66703661063,248273.0,23717.0,25655.0,100453249.00000073
AT122,AT122,AT122AT122,3374.531571362492,252757.42805238438,263352.0,24129.0,25373.0,98501120.99999848
AT123,AT123,AT123AT123,1233.1058630660668,148777.3261871716,158136.0,13727.0,14386.0,61320474.999999285
AT124,AT124,AT124AT124,4616.295374004203,219385.93999508108,215711.0,26577.0,27850.0,120777399.99999917
AT125,AT125,AT125AT125,2410.836071747264,123380.48198294733,126305.0,15959.0,16997.0,72340861.99999973
AT126,AT126,AT126AT126,2725.069995565486,309372.1619995517,338695.0,30382.0,31398.0,129547504.99999627
AT127,AT127,AT127AT127,1475.9782119380316,324445.85853578156,352698.0,25385.0,26124.0,125897372.00000073
AT130,AT130,AT130AT130,413.46697279237594,1709545.037183042,1923149.0,26280.0,26426.0,516677241.99999744
AT211,AT211,AT211AT211,2030.5565246692756,276703.26373521757,292524.0,21836.0,23231.0,101636446.00000158
AT212,AT212,AT212AT212,4135.654880525289,127181.75755782255,123541.0,13156.0,14015.0,45768539.00000038
AT213,AT213,AT213AT213,3376.3706634748196,152438.00781316025,148339.0,15462.0,17494.0,57640015.99999965
AT221,AT221,AT221AT221,1214.7206350335096,405203.1989032861,451870.0,22461.0,23259.0,151319615.99999905
AT222,AT222,AT222AT222,3319.103302855976,80055.69591171668,79558.0,9737.0,10550.0,30909965.000000242
AT223,AT223,AT223AT223,3207.217779393213,163888.54713180708,157222.0,14114.0,14813.0,54452121.99999956
AT224,AT224,AT224AT224,3338.9944655905047,264819.6343127893,268307.0,25519.0,28124.0,127684478.00000021
AT225,AT225,AT225AT225,2272.418404616387,192176.85062900052,196505.0,18938.0,20131.0,81650538.99999991
AT226,AT226,AT226AT226,3060.574715910622,102818.99486799559,98549.0,10245.0,11154.0,40514555.00000038
AT311,AT311,AT311AT311,2821.693436132088,276149.5961393012,293382.0,28431.0,30346.0,129556998.99999931
AT312,AT312,AT312AT312,1745.741377577819,551817.4222692045,601467.0,33333.0,34520.0,199259653.999999
AT313,AT313,AT313AT313,2660.7094522123202,204107.45105258658,211406.0,20115.0,21122.0,83618770.00000016
AT314,AT314,AT314AT314,2239.706766476078,152591.58620825922,156822.0,13491.0,14184.0,66425224.00000051
AT315,AT315,AT315AT315,2517.0428002438825,229601.16543098624,241399.0,19774.0,21002.0,91706090.00000054
AT321,AT321,AT321AT321,1020.67885648085,20490.326844485848,20179.0,2874.0,3213.0,8814788.999999907
AT322,AT322,AT322AT322,4397.840365964099,162614.8394328171,170108.0,17658.0,19204.0,57567249.999998964
AT323,AT323,AT323AT323,1740.3830404727453,345950.33638567233,371390.0,18145.0,18805.0,102891487.99999999
